Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
actin filament organization,14/91,450/18855,0.031111111,6.446153846,8.1430666,3.18E-08,5.76E-05,5.03E-05,Alox15/Rac2/Coro1a/Pfn1/Lcp1/Hsp90b1/Msrb1/Rhob/Actr3/Wdr1/Arpc4/Actn1/Cnn2/Arpc5,14
actin polymerization or depolymerization,8/91,186/18855,0.043010753,8.911733428,7.551397394,3.26E-06,0.002685286,0.002348747,Alox15/Coro1a/Pfn1/Msrb1/Actr3/Wdr1/Arpc4/Arpc5,8
chemotaxis,10/91,417/18855,0.023980815,4.968772235,5.707251795,3.27E-05,0.003779734,0.003306031,Ear1/Ear6/Retnlg/S100a9/Rac2/Cxcr4/Coro1a/Stx3/Ear2/Il17ra,10
granulocyte migration,6/91,150/18855,0.04,8.287912088,6.240647234,8.76E-05,0.008811979,0.007707599,S100a9/Epx/Rac2/Prtn3/Il17ra/Wdr1,6
nicotinamide nucleotide metabolic process,6/91,174/18855,0.034482759,7.1447518,5.670725757,0.000197439,0.013109571,0.011466586,Tkt/Gpi1/Adpgk/Taldo1/Pgd/Aldoa,6
pyridine nucleotide metabolic process,6/91,176/18855,0.034090909,7.063561439,5.628167845,0.000210043,0.013109571,0.011466586,Tkt/Gpi1/Adpgk/Taldo1/Pgd/Aldoa,6
protein polymerization,7/91,265/18855,0.026415094,5.473149492,5.106888665,0.000296483,0.016261657,0.01422363,Alox15/Coro1a/Pfn1/Msrb1/Actr3/Arpc4/Arpc5,7
generation of precursor metabolites and energy,8/91,424/18855,0.018867925,3.909392494,4.21959266,0.001021237,0.042649059,0.037303975,Tkt/Gpi1/Adpgk/Taldo1/Pygl/Pgd/Uqcrh/Aldoa,8
regulation of protein-containing complex assembly,8/91,425/18855,0.018823529,3.900193924,4.211323183,0.001036773,0.042649059,0.037303975,Alox15/Lmo4/Coro1a/Pfn1/Lcp1/Actr3/Rack1/Arpc5,8
cellular response to lipid,9/97,494/18855,0.018218623,3.541362327,4.116008374,0.001004247,0.014600663,0.010925494,Vim/Litaf/Lyn/Dnaja1/Syk/Tnfaip3/H2az1/Zfp36/Foxp1,9
